Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb_top.uut.ram.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Tiempo | addr        | valid ready | wstrb | tx_req | tx_data
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:51
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:84
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
             2615000 | 00000010 |   1     1   |  0000   |   0    |   00
             2625000 | 00000010 |   0     0   |  0000   |   0    |   00
             2635000 | 00000018 |   1     0   |  1111   |   0    |   00
             2645000 | 00000018 |   1     1   |  1111   |   0    |   00
             2655000 | 00000018 |   0     0   |  1111   |   0    |   00
             2675000 | 00000014 |   1     0   |  0000   |   0    |   00
             2685000 | 00000014 |   1     1   |  0000   |   0    |   00
             2695000 | 00000014 |   0     0   |  0000   |   0    |   00
             2715000 | 00000018 |   1     0   |  0000   |   0    |   00
             2725000 | 00000018 |   1     1   |  0000   |   0    |   00
             2735000 | 00000018 |   0     0   |  0000   |   0    |   00
             2745000 | 00000018 |   1     0   |  1111   |   0    |   00
             2755000 | 00000018 |   1     1   |  1111   |   0    |   00
             2765000 | 00000018 |   0     0   |  1111   |   0    |   00
             2785000 | 00000008 |   1     0   |  0000   |   0    |   00
             2795000 | 00000008 |   1     1   |  0000   |   0    |   00
             2805000 | 00000008 |   0     0   |  0000   |   0    |   00
             2825000 | 0000000c |   1     0   |  0000   |   0    |   00
             2835000 | 0000000c |   1     1   |  0000   |   0    |   00
             2845000 | 0000000c |   0     0   |  0000   |   0    |   00
             2865000 | 00000010 |   1     0   |  0000   |   0    |   00
             2875000 | 00000010 |   1     1   |  0000   |   0    |   00
             2885000 | 00000010 |   0     0   |  0000   |   0    |   00
             2895000 | 00000018 |   1     0   |  1111   |   0    |   00
             2905000 | 00000018 |   1     1   |  1111   |   0    |   00
             2915000 | 00000018 |   0     0   |  1111   |   0    |   00
             2935000 | 00000014 |   1     0   |  0000   |   0    |   00
